date,open,high,low,close,adjClose,volume
Fri Oct 21 2022,353.200012,353.200012,344.5,345.600006,327.448486,27372160
Mon Oct 24 2022,348.950012,349.700012,347,347.700012,329.438202,3170564
Tue Oct 25 2022,349.450012,349.5,343.649994,346.299988,328.111755,17242211
Thu Oct 27 2022,346.649994,348.350006,343.850006,345.799988,327.63797,18558597
Fri Oct 28 2022,347.549988,348.600006,345.100006,345.799988,327.63797,13069167
Mon Oct 31 2022,348,350.5,344.75,348.700012,330.385712,13825970
Tue Nov 01 2022,349.25,350.5,347.200012,349.5,331.143677,19665200
Wed Nov 02 2022,348.5,356.25,348.5,354.649994,336.023163,16781507
Thu Nov 03 2022,354,358.5,353,353.700012,335.123077,10736155
Fri Nov 04 2022,354,356,352.5,353.600006,335.028351,8386849
Mon Nov 07 2022,355,356.350006,350,353.5,334.933533,10050303
Wed Nov 09 2022,353.5,361.450012,353.200012,360.700012,341.755402,20611075
Thu Nov 10 2022,359,359.899994,354.100006,356,337.302277,19327625
Fri Nov 11 2022,360,360.950012,354.649994,356.350006,337.633881,10950902
Mon Nov 14 2022,356.350006,356.950012,346.600006,347.200012,328.964478,17639889
Tue Nov 15 2022,348.950012,348.950012,339.149994,345.25,327.116882,15451411
Wed Nov 16 2022,345.700012,346.850006,341.649994,344.100006,326.027283,7604924
Thu Nov 17 2022,344.100006,347.450012,342.600006,343.700012,325.648254,9994270
Fri Nov 18 2022,343.700012,344.75,339.799988,341.049988,323.137451,7838297
Mon Nov 21 2022,339.100006,340,334.399994,337.200012,319.489685,9198816
Tue Nov 22 2022,337,341,335.700012,340.25,322.379456,6495845
Wed Nov 23 2022,342,342,337.5,339.799988,321.953094,7768291
Thu Nov 24 2022,339.799988,342.5,337.549988,340.75,322.85321,8140857
Fri Nov 25 2022,341,341.899994,337.799988,340.299988,322.426849,6933254
Mon Nov 28 2022,340,341.75,338.75,340.049988,322.189941,9902739
Tue Nov 29 2022,340,345,340,342.299988,324.321808,10189855
Wed Nov 30 2022,341.25,344.149994,339,340,322.142609,22556502
Thu Dec 01 2022,341.700012,341.700012,336.799988,339.549988,321.716248,16630417
Fri Dec 02 2022,339.350006,340.799988,336.75,337.149994,319.442291,8388835
Mon Dec 05 2022,337.649994,338.850006,334.149994,336.75,319.063293,9716390
Tue Dec 06 2022,334.100006,338.200012,334.100006,337.299988,319.584381,6327430
Wed Dec 07 2022,338.5,341.5,336.649994,340.100006,322.237366,9813208
Thu Dec 08 2022,340.200012,342.149994,337.5,338.399994,320.626648,6200447
Fri Dec 09 2022,339.75,342.5,338,341.399994,323.469086,8132228
Mon Dec 12 2022,341,344,340.100006,343.200012,325.174561,11214662
Tue Dec 13 2022,344.5,346,342.399994,345.600006,327.448486,10693426
Wed Dec 14 2022,346,347.350006,343.75,345.399994,327.258942,7379878
Thu Dec 15 2022,344.75,346.100006,338,338.850006,321.053009,8154931
Fri Dec 16 2022,337.5,338.899994,331.299988,335.100006,317.499969,12429280
Mon Dec 19 2022,336.799988,342.350006,335.350006,340.5,322.616333,7812801
Tue Dec 20 2022,340.049988,340.950012,336.75,340.149994,322.284698,5482218
Wed Dec 21 2022,341,341.25,334.5,335.149994,317.547333,7045201
Thu Dec 22 2022,335.649994,337.399994,329.899994,332.450012,314.989166,6584445
Fri Dec 23 2022,330.899994,331.899994,325.350006,326.700012,309.541138,10073884
Mon Dec 26 2022,326.5,335.100006,325.5,334.600006,317.026245,9566210
Tue Dec 27 2022,335.600006,336.399994,330.149994,333.149994,315.652374,6727343
Wed Dec 28 2022,332.850006,335,331.5,334.399994,316.836731,7737562
Thu Dec 29 2022,334.350006,335.75,331.549988,335.350006,317.736847,8105359
Fri Dec 30 2022,335.399994,336.75,330.5,331.549988,314.136414,6960264
Mon Jan 02 2023,330.899994,334,329.649994,332.850006,315.368103,5951893
Tue Jan 03 2023,331.5,333.350006,330.25,331.100006,313.710052,5997051
Wed Jan 04 2023,331.850006,332.5,326,327,309.825378,6689769
Thu Jan 05 2023,328.649994,333.899994,328.200012,333.450012,315.936646,8171437
Fri Jan 06 2023,334.700012,337.549988,333.100006,335.049988,317.452576,8284135
Mon Jan 09 2023,336.950012,341.299988,336.149994,338.049988,320.295013,10618786
Tue Jan 10 2023,337.899994,338.399994,332.549988,333.399994,315.889221,6949605
Wed Jan 11 2023,335.100006,335.100006,331.299988,331.799988,314.37326,4584293
Thu Jan 12 2023,333.399994,333.600006,328.100006,329.850006,312.525726,6638422
Fri Jan 13 2023,329.850006,332.25,326.399994,328.75,311.483459,14412671
Mon Jan 16 2023,330.350006,332.200012,327.549988,330.200012,312.85733,8253942
Tue Jan 17 2023,330.200012,333.5,329.100006,332.25,314.799683,13712537
Wed Jan 18 2023,334,336.549988,332.399994,334.649994,317.073608,12555527
Thu Jan 19 2023,334,335.649994,331.649994,332.149994,314.704895,8346130
Fri Jan 20 2023,332,335.200012,329.25,334.600006,317.026245,13103664
Mon Jan 23 2023,336,338.149994,333.049988,337.75,320.010773,7124807
Tue Jan 24 2023,337.799988,340.75,337.600006,338.950012,321.147736,12302874
Wed Jan 25 2023,338.899994,341,335.25,339.25,321.431976,12497542
Fri Jan 27 2023,341.799988,348.850006,341.5,346,327.827484,21040139
Mon Jan 30 2023,346.899994,351.75,341.850006,344.799988,326.690521,14091519
Tue Jan 31 2023,346,355,341.049988,352.350006,333.843994,17134291
Wed Feb 01 2023,353,365.700012,329.100006,361.399994,342.41864,64518967
Thu Feb 02 2023,361.600006,384.700012,360.399994,378.600006,358.715271,55745171
Fri Feb 03 2023,381.899994,382.25,372,380.649994,360.657593,22295321
Mon Feb 06 2023,382.5,388.200012,379.600006,383.399994,363.263184,25790153
Tue Feb 07 2023,383.899994,383.899994,368.450012,373.25,353.646271,20643707
Wed Feb 08 2023,374.75,377.299988,371.549988,375.549988,355.82547,10420462
Thu Feb 09 2023,374,380,372.149994,374.25,354.593719,11861196
Fri Feb 10 2023,372.200012,376.950012,370.299988,371.350006,351.846039,10278597
Mon Feb 13 2023,373,375.149994,370,374.200012,354.546356,9901148
Tue Feb 14 2023,375,387.649994,373.75,386.450012,366.152985,29125052
Wed Feb 15 2023,381.75,382.850006,378.549988,382.200012,367.837189,12209350
Thu Feb 16 2023,382,385.25,381,382.549988,368.174042,9775280
Fri Feb 17 2023,381.049988,384.549988,379.25,383.399994,368.992126,7672135
Mon Feb 20 2023,384.700012,387.5,381.299988,384.049988,369.617645,7804976
