timestamp,open,high,low,close,adjusted close,volume,dividend amount
2013-12-13,119.0000,134.4500,117.2000,125.1000,110.1007,772960,0.0000
2013-12-06,97.2000,126.4000,97.0000,119.6000,105.2601,1136578,0.0000
2013-11-29,96.8000,98.5000,93.5500,96.3500,84.7978,41570,0.0000
2013-11-22,94.0000,99.0000,93.9000,95.5500,84.0937,74401,0.0000
2013-11-14,98.0000,98.3000,92.0500,93.1500,81.9814,31980,0.0000
2013-11-08,98.1500,102.0000,96.7000,97.7500,86.0299,25310,0.0000
2013-11-01,97.8000,106.2000,97.0000,99.5000,87.5701,171259,0.0000
2013-10-25,93.0000,99.4500,90.0000,95.8500,84.3577,59336,0.0000
2013-10-18,95.8000,95.8000,90.1500,91.6500,80.6613,8697,0.0000
2013-10-11,92.0000,96.4500,85.2500,93.4000,82.2015,66992,0.0000
2013-10-04,89.9000,94.0000,84.0000,87.8000,77.2729,55709,0.0000
2013-09-27,92.0000,92.9500,86.0000,88.3500,77.7570,17027,0.0000
2013-09-20,97.0000,98.2000,88.6000,89.7000,78.9451,30352,0.0000
2013-09-13,88.0000,102.2000,86.2000,95.6500,84.1817,73144,0.0000
2013-09-06,85.0000,86.9500,81.5500,85.1000,74.8966,10997,0.0000
2013-08-30,87.0000,87.0000,77.4500,85.2000,74.9846,10846,0.0000
2013-08-23,75.0000,89.8000,75.0000,85.1500,74.9406,15256,0.0000
2013-08-16,82.0000,94.9000,80.1500,88.5000,77.8890,57402,0.0000
2013-08-08,86.0000,88.5000,75.5500,80.6500,70.9802,36696,0.0000
2013-08-02,102.3500,114.0000,85.0000,85.8500,75.5567,22410,1.7500
2013-07-26,100.0000,110.7000,99.9000,102.9000,88.8509,88001,0.0000
2013-07-19,100.0000,114.8000,97.0000,100.3500,86.6491,15982,0.0000
2013-07-12,96.2000,105.9000,96.2000,99.9500,86.3037,15751,0.0000
2013-07-05,99.7500,105.0000,98.7500,100.3000,86.6059,11905,0.0000
2013-06-28,104.9000,105.0000,93.3000,99.0000,85.4834,17152,0.0000
2013-06-21,109.1500,111.9000,102.8000,103.7500,89.5849,16752,0.0000
2013-06-14,116.0000,116.8000,107.0000,108.9500,94.0749,21511,0.0000
2013-06-07,117.7000,122.2000,111.6000,115.2500,99.5148,33310,0.0000
2013-05-31,119.5000,123.0000,113.0000,114.1500,98.5650,41248,0.0000
2013-05-24,127.3500,127.3500,117.0000,117.4000,101.3712,35821,0.0000
2013-05-17,123.8500,126.8000,120.6000,122.9000,106.1203,63568,0.0000
2013-05-10,122.5000,128.7000,121.5000,122.7000,105.9476,133053,0.0000
2013-05-03,123.7000,125.0000,120.6000,122.1000,105.4295,39735,0.0000
2013-04-26,124.0000,128.3500,119.1000,123.4500,106.5952,222839,0.0000
2013-04-18,112.7000,130.5000,112.3000,125.8500,108.6675,425806,0.0000
2013-04-12,113.2500,115.8000,110.1000,112.8000,97.3993,22047,0.0000
2013-04-05,107.3500,117.8500,107.3500,114.3000,98.6945,65540,0.0000
2013-03-28,108.0000,111.0000,102.4000,104.8500,90.5347,21017,0.0000
2013-03-22,116.2000,121.5000,104.3000,105.8500,91.3982,48175,0.0000
2013-03-15,124.3000,126.0000,117.6000,118.4500,102.2779,43783,0.0000
2013-03-08,120.8500,126.9500,117.6500,123.3000,106.4657,82677,0.0000
2013-03-01,127.4000,131.0000,116.2500,120.8500,104.3502,187657,0.0000
2013-02-22,119.9000,138.5000,119.2500,125.6500,108.4948,629532,0.0000
2013-02-15,131.9500,131.9500,117.5500,118.5500,102.3642,19020,0.0000
2013-02-08,130.5000,131.9500,125.0000,126.8500,109.5310,18888,0.0000
2013-02-01,130.8000,135.0000,127.1000,130.3000,112.5100,36044,0.0000
2013-01-25,136.4500,136.9000,128.0000,128.8500,111.2579,26198,0.0000
2013-01-18,136.0000,138.4000,134.7000,134.9000,116.4819,28212,0.0000
2013-01-11,140.4000,142.6500,135.0000,135.8500,117.3022,53493,0.0000
2013-01-04,135.1000,143.9000,135.0000,139.8500,120.7561,64908,0.0000
2012-12-28,137.7500,138.0000,134.1500,134.9500,116.5251,22759,0.0000
2012-12-21,140.7000,144.6000,136.7500,137.1500,118.4247,69285,0.0000
2012-12-14,137.0000,145.5000,135.3000,139.8000,120.7129,220056,0.0000
2012-12-07,134.5000,139.5000,134.5000,136.6500,117.9930,51482,0.0000
2012-11-30,133.7000,136.6500,131.0000,134.2000,115.8775,66420,0.0000
2012-11-23,135.5000,137.5000,132.5000,133.4500,115.2299,21908,0.0000
2012-11-16,134.9500,140.8500,131.5000,135.6000,117.0864,46669,0.0000
2012-11-12,136.3000,138.0000,134.0000,135.2000,116.7410,8803,0.0000
2012-11-09,139.0000,144.0000,134.4000,135.2000,116.7410,160888,0.0000
2012-11-02,128.0000,141.6000,128.0000,137.2500,118.5111,173577,0.0000
2012-10-26,134.1000,135.7500,131.3500,132.3500,114.2801,70474,0.0000
2012-10-19,134.8000,139.1500,132.7000,133.9000,115.6185,111674,0.0000
2012-10-12,136.4000,138.4500,132.7500,134.1500,115.8343,88429,0.0000
2012-10-05,134.3000,141.5000,133.3000,136.3000,117.6908,160361,0.0000
2012-09-28,135.7000,138.6000,133.2000,133.8000,115.5321,115110,0.0000
2012-09-21,132.0000,139.8000,130.8500,134.8500,116.4388,331610,0.0000
2012-09-14,136.0000,136.0000,130.2500,131.1500,113.2439,105986,0.0000
2012-09-07,126.4000,135.5500,125.7500,131.6500,113.6757,317380,0.0000
2012-08-31,132.5000,134.6000,125.0000,126.6500,109.3583,175562,0.0000
2012-08-24,132.4500,142.4000,131.3500,132.5000,114.4096,407071,0.0000
2012-08-17,133.4000,136.7000,131.2000,131.5000,113.5461,129988,0.0000
2012-08-10,135.0000,139.4000,131.9000,133.1500,114.9709,268874,0.0000
2012-08-03,130.3000,143.2000,126.0000,134.8000,116.3956,711040,0.0000
2012-07-27,150.0000,150.0000,128.0500,129.2000,111.5602,299704,0.0000
2012-07-20,144.3500,160.9000,137.0500,146.7500,126.7140,1235960,0.0000
2012-07-13,318.0000,328.9000,142.0500,143.3500,123.7782,640145,3.5000
2012-07-06,287.4000,324.3500,285.6500,316.8500,133.6810,1422472,0.0000
2012-06-29,284.0000,291.0000,280.6500,286.4000,120.8340,236934,0.0000
2012-06-22,275.0000,290.8500,273.2500,282.6500,119.2518,624192,0.0000
2012-06-15,276.0000,292.9500,267.5000,281.8000,118.8932,999370,0.0000
2012-06-08,272.9000,278.1000,264.0000,273.5500,115.4125,371952,0.0000
2012-06-01,234.2500,296.7000,234.0000,268.8500,113.4295,2711964,0.0000
2012-05-25,222.0000,239.9000,220.0000,230.9500,97.4393,91754,0.0000
2012-05-18,233.3500,233.3500,218.0000,223.3000,94.2117,55258,0.0000
2012-05-11,232.0000,251.9500,229.0000,231.6000,97.7135,73146,0.0000
2012-05-04,240.1000,250.9500,236.2000,237.9000,100.3715,71924,0.0000
2012-04-27,250.0000,252.5500,237.0000,237.2500,100.0973,87846,0.0000
2012-04-20,254.0000,255.2000,244.5000,248.2500,104.7382,111112,0.0000
2012-04-13,257.0000,262.5000,252.2000,254.2500,107.2697,84020,0.0000
2012-04-04,254.8000,264.1500,253.6000,256.7500,108.3244,114156,0.0000
2012-03-30,264.1000,265.4000,249.4500,253.7000,107.0376,300828,0.0000
2012-03-23,286.4000,304.2000,261.0000,262.7000,110.8348,3674028,0.0000
2012-03-16,253.7500,293.8000,248.2000,285.2500,120.3488,2124540,0.0000
2012-03-09,253.9000,265.9000,243.0000,251.5500,106.1305,365008,0.0000
2012-03-02,250.9500,259.7500,242.1000,252.0500,106.3415,184664,0.0000
2012-02-24,266.4000,270.0000,248.1500,250.5500,105.7086,115712,0.0000
2012-02-17,257.8000,277.3000,250.0500,263.4000,111.1301,332816,0.0000
2012-02-10,257.5500,267.5000,251.0000,254.3500,107.3119,409382,0.0000
2012-02-03,245.0500,261.5000,240.1500,256.2500,108.1135,635676,0.0000
2012-01-27,243.2000,250.0000,239.1500,245.9500,103.7678,127042,0.0000
2012-01-20,235.1500,253.0000,234.5500,243.7000,102.8186,222006,0.0000
2012-01-13,218.3000,256.0000,217.0000,240.9000,101.6372,779090,0.0000
2012-01-06,215.6000,230.6000,212.9500,220.1000,92.8616,356706,0.0000
2011-12-30,216.0000,227.0000,210.2500,214.2000,90.3723,282636,0.0000
2011-12-23,210.6000,221.8000,190.5500,215.8500,91.0685,284180,0.0000
2011-12-16,226.9500,226.9500,210.6000,211.7000,89.3176,75750,0.0000
2011-12-09,230.7000,233.8500,218.5000,221.1500,93.3046,69844,0.0000
2011-12-02,220.5500,236.5000,220.0500,229.5500,96.8486,298392,0.0000
2011-11-25,224.0000,233.3000,205.0000,217.5500,91.7857,210160,0.0000
2011-11-18,250.1000,257.3000,221.7000,225.5000,95.1399,100198,0.0000
2011-11-11,263.0000,267.7500,248.1000,248.9500,105.0336,82342,0.0000
2011-11-04,254.9000,270.0000,253.0500,263.0500,110.9824,420824,0.0000
2011-10-28,255.0000,257.9000,253.0000,253.9500,107.1431,18030,0.0000
2011-10-25,257.7000,258.9500,248.0000,250.8000,105.8141,48860,0.0000
2011-10-21,257.6000,260.9500,249.5000,251.6000,106.1516,219972,0.0000
2011-10-14,239.6000,266.0000,239.0000,257.0000,108.4299,605998,0.0000
2011-10-07,240.6000,248.0000,233.9500,238.7000,100.7090,144872,0.0000
2011-09-30,235.1000,255.0000,232.1000,245.7000,103.6624,660162,0.0000
2011-09-23,251.1000,263.7500,231.1500,235.7500,99.4644,355894,0.0000
2011-09-16,258.0000,267.5000,247.0500,252.7000,106.6157,787306,0.0000
2011-09-09,221.1000,276.0000,217.3000,262.1500,110.6027,2613692,0.0000
2011-09-02,236.3000,237.9000,220.6000,222.6500,93.9374,100274,0.0000
2011-08-30,234.4000,240.0000,229.0500,231.1500,97.5236,118730,0.0000
2011-08-26,227.0000,255.5500,224.0000,229.3000,96.7431,472832,0.0000
2011-08-19,259.4500,263.0000,220.0000,226.2000,95.4352,236482,0.0000
2011-08-12,263.5000,266.6000,235.4000,254.8500,107.5228,564166,0.0000
2011-08-05,329.7500,337.8000,261.0000,269.9500,113.8936,2033466,0.0000
2011-07-29,325.5000,371.0000,310.1000,324.2000,136.7820,6457368,0.0000
2011-07-22,271.4000,362.4000,268.5000,327.7000,138.2587,7930096,3.0000
2011-07-15,266.0500,275.0000,263.1000,270.9000,111.7630,168164,0.0000
2011-07-08,248.6000,286.0000,247.0000,265.3500,109.4733,580000,0.0000
2011-07-01,234.0000,250.0000,230.1000,247.6500,102.1709,210136,0.0000
2011-06-24,240.0000,244.2000,227.1000,234.9500,96.9314,222216,0.0000
2011-06-17,239.1000,262.0000,235.0000,240.4000,99.1798,473242,0.0000
2011-06-10,243.0000,252.0000,237.5000,238.6000,98.4372,66636,0.0000
2011-06-03,229.5000,254.6000,229.0500,241.7500,99.7368,224018,0.0000
2011-05-27,234.0000,234.9500,226.0000,229.3000,94.6004,43550,0.0000
2011-05-20,227.0000,239.3500,224.1500,233.9500,96.5188,152818,0.0000
2011-05-13,240.0000,240.0000,221.1500,225.9500,93.2183,72206,0.0000
2011-05-06,245.1000,246.8500,222.6000,224.8500,92.7645,102612,0.0000
2011-04-29,251.8000,259.6000,242.0000,244.1500,100.7269,193848,0.0000
2011-04-21,250.7000,256.9000,242.0500,249.6500,102.9960,199520,0.0000
2011-04-15,255.4500,258.0000,244.1500,248.8000,102.6454,168308,0.0000
2011-04-08,233.8000,268.0000,230.1000,253.6000,104.6257,631136,0.0000
