"dttm","vale1","vole"
"2024-11-22","275.00","1"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
"2024-11-22","275.00","0"
